Date,Description,Amount,Balance
20190601,LAXSHUTTLETIX.COM        ANAHEIM      US 24692169152100946757655 ,-148.91,0.00
20190601,MONTHLY ACCOUNT FEE  ,-23.00,0.00
20190601,CREDIT FACILITY SERVICE FEE  ,-27.00,0.00
20190601,CREDIT LIFE PREMIUM  ,-3.48,0.00
20190603,I AFRIHOST.COM 2        SEDENBURG     ZA 74548589153001904020905 ,-727.00,0.00
20190604,OMNI LOS ANGELES FRONT   213-6173300  US 24755429154161542326923 ,-4102.13,0.00
20190604,NETFLIX.COM              Amsterdam    NL 74987509155000577353928 ,-99.00,0.00
20190605,SMS FEE  ,-7.80,0.00
20190607,4062396441 74565469158808910120000 ,5300.00,0.00
20190608,4062396441 74565469159808910120009 ,5300.00,0.00
20190608,SAMESUN USA INC          VENICE       US 24431069159091026000119 ,-7486.04,0.00
20190610,TAKETOURS INC            617-500-7002 US 24137469159300559199118 ,-3867.79,0.00
20190610,LAPHIL HWBOWL WEB        323-850-2000 US 24692169160100948085931 ,-787.59,0.00
20190612,FEDEX OFFIC17500017582   LOS ANGELES  US 24164079162069360405240 ,-10.83,0.00
20190612,FEDEX OFFIC17500017582   LOS ANGELES  US 24164079162069360619113 ,-43.46,0.00
20190613,UBER   TRIP              8005928996   US 24492159163715659561810 ,-281.59,0.00
20190613,UBER   TRIP              8005928996   US 24492159163719651251586 ,-452.05,0.00
20190615,SQ *THE POKE SHACK       LOS ANGELES  US 24492159166854276977484 ,-211.92,0.00
20190618,M*UBER SA HELP.UBER.COM  JOHANNESBURG ZA 74565469169181248000857 ,-121.32,0.00
20190618,NATIVE AMERICAN WORLD    VENICE       US 24207859168316400465264 ,-1202.68,0.00
20190618,UBER   TRIP              8005928996   US 24492159167719911331372 ,-246.50,0.00
20190618,UBER   TRIP              8005928996   US 24492159167713898780776 ,-244.50,0.00
20190618,UBER   TRIP              8005928996   US 24492159168715963124409 ,-285.36,0.00
20190619,C*PNP FAM PANORAMA       PANARAMA     ZA 74565469170191838001709 ,-954.26,0.00
