Date,Description,Amount,Balance
20190625,Quicket                  CAPE TOWN    ZA 74922139174020180318267 ,-539.00,0.00
20190625,TAKEALOT.COM             WWW.TAKEALOT.ZA 74303949175924325893433 ,-285.00,0.00
20190701,Pay Down CC Jun 2019 74565469181808910120001 ,6176.20,0.00
20190701,C*Makro Montague         MILNERTON    ZA 74548589181001208000591 ,-2308.60,0.00
20190701,TAKEALOT.COM             WWW.TAKEALOT.ZA 74303949181925336552415 ,-2315.00,0.00
20190701,MONTHLY ACCOUNT FEE  ,-23.00,0.00
20190701,CREDIT FACILITY SERVICE FEE  ,-27.00,0.00
20190701,CREDIT LIFE PREMIUM  ,-12.47,0.00
20190702,SABC TV Licences         JHB          ZA 74922139182020260085422 ,-265.00,0.00
20190702,I AFRIHOST.COM 2        SEDENBURG     ZA 74548589183001904021378 ,-727.00,0.00
20190704,SMS FEE  ,-12.00,0.00
20190704,Quicket                  CAPE TOWN    ZA 74922139184020280578099 ,-85.00,0.00
20190705,NETFLIX.COM              Amsterdam    NL 74987509185000868043927 ,-99.00,0.00
20190708,4062396441 74565469189808910120003 ,900.00,0.00
20190711,C*WOOLWORTHS CANAL WALK CCAPE TOWN    ZA 74565469192112051001923 ,-609.00,0.00
20190712,CAPE UNION MART CANAL    CANAL WALK   ZA 74790509192715564068765 ,-8865.50,0.00
20190713,Pay Down CC 74565469194808910120006 ,9373.00,0.00
20190713,cc pt2 74565469194808910120006 ,4.00,0.00
