Date,Description,Amount,Balance
20200129,zero Cc end Jan 2020 74565460029808910120006 ,5930.00,0.00
20200129,L*UBER SA HELP.UBER.COM  JOHANNESBURG ZA 74565460029290858000203 ,-75.00,0.00
20200129,L*UBER SA HELP.UBER.COM  JOHANNESBURG ZA 74565460029290858000203 ,-10.00,0.00
20200130,L*UBER SA HELP.UBER.COM  JOHANNESBURG ZA 74565460029291803000207 ,-107.00,0.00
20200130,L*UBER SA HELP.UBER.COM  JOHANNESBURG ZA 74565460029291804000206 ,-10.00,0.00
20200131,L*UBER SA HELP.UBER.COM  JOHANNESBURG ZA 74565460031310907001014 ,-83.00,0.00
20200201,MONTHLY ACCOUNT FEE  ,-23.00,0.00
20200201,CREDIT FACILITY SERVICE FEE  ,-30.00,0.00
20200201,CREDIT LIFE PREMIUM  ,-9.22,0.00
20200203,M & H MOTORS             BELVILLE SOUTZA 74790500032715523854308 ,-7394.50,0.00
20200203,I AFRIHOST.COM 2        SEDENBURG     ZA 74548580033002609020195 ,-1009.00,0.00
20200205,SMS FEE  ,-10.20,0.00
20200205,NETFLIX.COM              866-579-7172 NL 74313290035100535130117 ,-99.00,0.00
20200210,ENGEN WELGEMOED          BELLVILLE    ZA 74790500039715663280903 ,-690.10,0.00
20200212,CAPE UNION MART CANAL    CANAL WALK   ZA 74790500042715729250481 ,-3764.20,0.00
20200213,FAITHFUL TO NATURE       MUIZENBERG   ZA 74922130043022520754506 ,-499.00,0.00
20200214,C*BP TYGERVALLEY         BELVILLE     ZA 74548580045000004450492 ,-721.90,0.00
20200217,Banggood.com             HongKong     HK 74530220047000139965852 ,-2870.40,0.00
