Date,Description,Amount,Balance
20200226,M & H MOTORS             BELVILLE SOUTZA 74790500056715964702132 ,-3772.00,0.00
20200228,SHELL MOTHER CITY MOTORS FORESHORE    ZA 74790500058715005941622 ,-722.85,0.00
20200302,MONTHLY ACCOUNT FEE  ,-23.00,0.00
20200302,CREDIT FACILITY SERVICE FEE  ,-30.00,0.00
20200302,CREDIT LIFE PREMIUM  ,-24.48,0.00
20200303,ENGEN PLETTENBERG BAY    PLETTENBERG  ZA 74790500060715086320940 ,-630.55,0.00
20200303,MALI ACCOMMODATION & ADV STORMS RIVER ZA 74790500060715091707230 ,-750.00,0.00
20200303,SOUTH AFRICAN NATIONAL   MUCKLENEUK   ZA 74790500060715088817968 ,-977.56,0.00
20200303,SOUTH AFRICAN NATIONAL   MUCKLENEUK   ZA 74790500060715088817950 ,-1261.07,0.00
20200303,I AFRIHOST.COM 2        SEDENBURG     ZA 74548580063002706019044 ,-1009.00,0.00
20200304,SHELL UC KEI BRIDGE      EAST LONDON  ZA 74790500063715131674215 ,-641.00,0.00
20200305,SMS FEE  ,-10.20,0.00
20200305,pay down cc 74565460065808910120001 ,10060.00,0.00
20200305,NETFLIX.COM              Amsterdam    NL 74987500064001956428736 ,-99.00,0.00
