Date,Description,Amount,Balance
20200725,AMZN Mktp US*MV3EF4VB2   Amzn.com/billLU 74313290206100072595410 ,-1518.07,0.00
20200801,MONTHLY ACCOUNT FEE  ,-23.00,0.00
20200801,CREDIT FACILITY SERVICE FEE  ,-30.00,0.00
20200801,CREDIT LIFE PREMIUM  ,-3.37,0.00
20200803,I AFRIHOST.COM 2        SEDENBURG     ZA 74548580215003105018204 ,-1059.00,0.00
20200803,AMZN Digital*MF2JL1ZS0   888-802-3080 US 24692160215100425122417 ,-152.37,0.00
20200804,AMZN Digital*MF57W3L62   888-802-3080 US 24692160216100936485153 ,-184.43,0.00
20200804,NETFLIX.COM              866-579-7172 NL 74313290216100131310478 ,-99.00,0.00
20200805,SMS FEE  ,-4.80,0.00
20200805,Kindle Svcs*MF4OF6BL1    866-321-8851 US 24692160217100748439298 ,-186.35,0.00
20200806,Kindle Svcs*MF8O95EW0    866-321-8851 US 24692160218100080087373 ,-185.72,0.00
20200807,Kindle Svcs*MF6FO02C1    866-321-8851 US 24692160220100369233967 ,-187.69,0.00
